epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15364.2,1.38456,1.36786,1.44199,0.41834,0.17457,0.17378,0.09484,1.79158,1.77522,1.65228,0.005842,0.005842,0.005842
44,191.64,1.40169,1.37742,1.4455,0.57838,0.67086,0.6611,0.33322,1.69345,1.44549,1.53429,0.005743,0.005743,0.005743
45,379.149,1.39555,1.35222,1.43261,0.64238,0.6241,0.65124,0.33611,1.63552,1.43238,1.51548,0.005644,0.005644,0.005644
46,564.575,1.39124,1.34268,1.43925,0.5698,0.65452,0.67036,0.34426,1.60864,1.43492,1.50506,0.005545,0.005545,0.005545
47,753.092,1.37694,1.34142,1.4284,0.64846,0.60572,0.64774,0.34494,1.60451,1.45775,1.50822,0.005446,0.005446,0.005446
48,934.985,1.38886,1.31085,1.42271,0.64185,0.63247,0.66582,0.35329,1.61938,1.41704,1.50341,0.005347,0.005347,0.005347
49,1120.35,1.37893,1.34093,1.4201,0.53926,0.59482,0.60722,0.30509,1.73443,1.59879,1.59988,0.005248,0.005248,0.005248
50,1297.78,1.36298,1.31964,1.41488,0.54657,0.61041,0.60819,0.31864,1.66458,1.51325,1.56686,0.005149,0.005149,0.005149
51,1477.92,1.35831,1.31679,1.42667,0.60171,0.6578,0.66954,0.35018,1.60774,1.43348,1.52129,0.00505,0.00505,0.00505
52,1663.28,1.36144,1.30716,1.41572,0.56161,0.55534,0.58089,0.27121,1.87915,1.66663,1.68975,0.004951,0.004951,0.004951
53,1853.05,1.35627,1.29385,1.41428,0.55084,0.69428,0.67745,0.35507,1.60954,1.41153,1.51421,0.004852,0.004852,0.004852
54,2048.7,1.36404,1.29664,1.4199,0.6271,0.57984,0.61145,0.32792,1.64547,1.47547,1.54456,0.004753,0.004753,0.004753
55,2236.6,1.32376,1.29942,1.40572,0.57372,0.48855,0.53066,0.23859,1.96605,1.82115,1.75247,0.004654,0.004654,0.004654
56,2423.17,1.34512,1.27041,1.41391,0.67105,0.60843,0.67289,0.36041,1.61212,1.3229,1.51411,0.004555,0.004555,0.004555
57,2610.65,1.34811,1.28877,1.40315,0.64042,0.65365,0.67987,0.36568,1.55973,1.34121,1.47973,0.004456,0.004456,0.004456
58,2797.84,1.33324,1.25385,1.40513,0.56605,0.6331,0.62725,0.30789,1.74081,1.49964,1.60351,0.004357,0.004357,0.004357
